target_x,target_y,cursor trajectory,p_id,avg errors,trial,block,Rotation,Emphasis,init errors,phase,init signed errors
0.3,-0.3,"[array([0., 0.]), array([ 0.01018519, -0.00462963]), array([ 0.0212963 , -0.01203704]), array([ 0.02962963, -0.01759259]), array([ 0.04351852, -0.02685185]), array([ 0.04814815, -0.03055556]), array([ 0.05462963, -0.03425926]), array([ 0.05925926, -0.03796296]), array([ 0.06574074, -0.04259259]), array([ 0.0712963 , -0.04814815]), array([ 0.07685185, -0.05185185]), array([ 0.08240741, -0.05740741]), array([ 0.08703704, -0.06203704]), array([ 0.09259259, -0.06759259]), array([ 0.09907407, -0.07407407]), array([ 0.10092593, -0.07685185]), array([ 0.10648148, -0.08148148]), array([ 0.11203704, -0.08703704]), array([ 0.11759259, -0.09351852]), array([ 0.12037037, -0.09537037]), array([ 0.12222222, -0.09722222]), array([ 0.12777778, -0.1037037 ]), array([ 0.13333333, -0.10833333]), array([ 0.13518519, -0.11111111]), array([ 0.13981481, -0.11481481]), array([ 0.14444444, -0.12037037]), array([ 0.15      , -0.12592593]), array([ 0.1537037 , -0.12962963]), array([ 0.15925926, -0.13425926]), array([ 0.16388889, -0.13888889]), array([ 0.16944444, -0.14351852]), array([ 0.175     , -0.14907407]), array([ 0.17962963, -0.1537037 ]), array([ 0.18611111, -0.15925926]), array([ 0.19166667, -0.16481481]), array([ 0.1962963 , -0.16851852]), array([ 0.20092593, -0.17314815]), array([ 0.20648148, -0.1787037 ]), array([ 0.21018519, -0.18240741]), array([ 0.21203704, -0.18425926]), array([ 0.21666667, -0.18888889]), array([ 0.2212963 , -0.19351852]), array([ 0.22314815, -0.1962963 ]), array([ 0.22592593, -0.19814815]), array([ 0.23055556, -0.2037037 ]), array([ 0.23518519, -0.20833333]), array([ 0.23888889, -0.21203704]), array([ 0.24259259, -0.21666667]), array([ 0.2462963, -0.2212963]), array([ 0.25 , -0.225]), array([ 0.25185185, -0.22777778]), array([ 0.25648148, -0.23240741]), array([ 0.25925926, -0.23518519]), array([ 0.26203704, -0.23796296]), array([ 0.26481481, -0.24166667])]",645,,49.0,0.0,Gradual,Accuracy,0.1868849474948919,Baseline,-0.18688494749489193
0.3,-0.3,[],645,,50.0,0.0,Gradual,Accuracy,0.1868849474948919,Baseline,
0.3,0.3,"[array([0., 0.]), array([-0.28981481, -0.29722222]), array([-0.27962963, -0.28888889]), array([-0.26944444, -0.28055556]), array([-0.25740741, -0.2712963 ]), array([-0.2462963 , -0.26296296]), array([-0.23981481, -0.25648148]), array([-0.23425926, -0.25092593]), array([-0.22685185, -0.24351852]), array([-0.21944444, -0.23611111]), array([-0.21388889, -0.23055556]), array([-0.21111111, -0.22777778]), array([-0.2037037 , -0.21944444]), array([-0.1962963 , -0.21203704]), array([-0.19351852, -0.20925926]), array([-0.19166667, -0.20648148]), array([-0.18888889, -0.2037037 ]), array([-0.18240741, -0.19722222]), array([-0.18055556, -0.19444444]), array([-0.17685185, -0.19074074]), array([-0.17222222, -0.18518519]), array([-0.16759259, -0.1787037 ]), array([-0.16574074, -0.17592593]), array([-0.16388889, -0.17314815]), array([-0.16111111, -0.17037037]), array([-0.15925926, -0.16759259]), array([-0.15648148, -0.16388889]), array([-0.15277778, -0.15925926]), array([-0.14907407, -0.15462963]), array([-0.14444444, -0.14814815]), array([-0.14074074, -0.14444444]), array([-0.13888889, -0.14166667]), array([-0.13425926, -0.13703704]), array([-0.13240741, -0.13425926]), array([-0.1287037 , -0.13055556]), array([-0.12685185, -0.12777778]), array([-0.12314815, -0.12314815]), array([-0.11759259, -0.11759259]), array([-0.11018519, -0.11018519]), array([-0.10462963, -0.10462963]), array([-0.09722222, -0.0962963 ]), array([-0.08981481, -0.08888889]), array([-0.08333333, -0.08240741]), array([-0.08055556, -0.0787037 ]), array([-0.07592593, -0.07407407]), array([-0.07222222, -0.0712963 ]), array([-0.06759259, -0.06574074]), array([-0.06481481, -0.06296296]), array([-0.06111111, -0.06018519]), array([-0.05833333, -0.05648148]), array([-0.05462963, -0.0537037 ]), array([-0.0462963 , -0.04537037]), array([-0.03888889, -0.03796296]), array([-0.03240741, -0.03148148]), array([-0.02407407, -0.02314815]), array([-0.01574074, -0.01574074]), array([-0.00925926, -0.00833333]), array([-0.00092593, -0.00092593]), array([0.00648148, 0.00555556]), array([0.01481481, 0.01388889]), array([0.02314815, 0.0212963 ]), array([0.02962963, 0.02777778]), array([0.03703704, 0.03333333]), array([0.04444444, 0.04074074]), array([0.05185185, 0.04814815]), array([0.05740741, 0.0537037 ]), array([0.06574074, 0.06111111]), array([0.07314815, 0.06759259]), array([0.0787037 , 0.07222222]), array([0.08611111, 0.0787037 ]), array([0.09259259, 0.08333333]), array([0.09722222, 0.08703704]), array([0.1037037 , 0.09259259]), array([0.10925926, 0.0962963 ]), array([0.11203704, 0.09907407]), array([0.11574074, 0.10092593]), array([0.11851852, 0.1037037 ]), array([0.12777778, 0.11018519]), array([0.13611111, 0.11666667]), array([0.14351852, 0.1212963 ]), array([0.15277778, 0.12777778]), array([0.16111111, 0.13333333]), array([0.16481481, 0.13518519]), array([0.17222222, 0.13981481]), array([0.18055556, 0.14537037]), array([0.18796296, 0.15      ]), array([0.19351852, 0.1537037 ]), array([0.1962963 , 0.15555556]), array([0.20092593, 0.15833333]), array([0.20555556, 0.16111111]), array([0.21018519, 0.16481481]), array([0.21481481, 0.16851852]), array([0.21944444, 0.1712963 ]), array([0.22314815, 0.175     ]), array([0.22685185, 0.1787037 ]), array([0.23055556, 0.18240741]), array([0.23333333, 0.18518519]), array([0.23796296, 0.18888889]), array([0.24166667, 0.19259259]), array([0.24444444, 0.19537037]), array([0.24814815, 0.19814815]), array([0.25      , 0.20092593]), array([0.25277778, 0.2037037 ]), array([0.2537037 , 0.20462963]), array([0.25648148, 0.20740741]), array([0.25740741, 0.20833333]), array([0.25833333, 0.20925926]), array([0.26018519, 0.21203704]), array([0.26203704, 0.21481481]), array([0.26388889, 0.21759259]), array([0.26574074, 0.22037037]), array([0.26759259, 0.22314815]), array([0.26851852, 0.225     ]), array([0.27037037, 0.22777778]), array([0.2712963 , 0.23055556]), array([0.27314815, 0.23333333]), array([0.275     , 0.23611111])]",645,,51.0,0.0,Gradual,Accuracy,3.053034383538145,Baseline,3.053034383538145
0.3,-0.3,"[array([0., 0.]), array([ 0.01203704, -0.00648148]), array([ 0.01944444, -0.01111111]), array([ 0.03703704, -0.02314815]), array([ 0.04814815, -0.03148148]), array([ 0.05277778, -0.03518519]), array([ 0.05833333, -0.03981481]), array([ 0.06018519, -0.04166667]), array([ 0.06296296, -0.04351852]), array([ 0.06481481, -0.04537037]), array([ 0.06666667, -0.04814815]), array([ 0.07037037, -0.05277778]), array([ 0.075     , -0.05740741]), array([ 0.0787037 , -0.06203704]), array([ 0.08333333, -0.06759259]), array([ 0.08796296, -0.07314815]), array([ 0.09166667, -0.07777778]), array([ 0.0962963 , -0.08425926]), array([ 0.1       , -0.08888889]), array([ 0.10555556, -0.0962963 ]), array([ 0.11018519, -0.10277778]), array([ 0.11481481, -0.10833333]), array([ 0.11666667, -0.11111111]), array([ 0.11944444, -0.11481481]), array([ 0.12407407, -0.12222222]), array([ 0.1287037 , -0.12777778]), array([ 0.13240741, -0.13333333]), array([ 0.13518519, -0.13703704]), array([ 0.13703704, -0.13981481]), array([ 0.13981481, -0.14351852]), array([ 0.14166667, -0.1462963 ]), array([ 0.14537037, -0.15185185]), array([ 0.15      , -0.15833333]), array([ 0.15462963, -0.16481481]), array([ 0.15833333, -0.16944444]), array([ 0.16296296, -0.17592593]), array([ 0.16666667, -0.18055556]), array([ 0.17222222, -0.18611111]), array([ 0.17685185, -0.19166667]), array([ 0.18148148, -0.19537037]), array([ 0.18611111, -0.20092593]), array([ 0.18981481, -0.20462963]), array([ 0.19537037, -0.20925926]), array([ 0.19907407, -0.21388889]), array([ 0.20277778, -0.21759259]), array([ 0.20648148, -0.2212963 ]), array([ 0.20925926, -0.22407407]), array([ 0.21388889, -0.22777778]), array([ 0.21666667, -0.23055556]), array([ 0.22037037, -0.23518519]), array([ 0.22407407, -0.23888889]), array([ 0.22685185, -0.24259259]), array([ 0.23055556, -0.2462963 ]), array([ 0.23518519, -0.25      ]), array([ 0.23796296, -0.2537037 ]), array([ 0.24074074, -0.25648148]), array([ 0.24537037, -0.26018519])]",645,,52.0,0.0,Gradual,Accuracy,0.2560945036220396,Baseline,-0.25609450362203967
-0.3,0.3,"[array([0., 0.]), array([-0.00925926,  0.00925926]), array([-0.02222222,  0.02407407]), array([-0.04166667,  0.04074074]), array([-0.04351852,  0.04259259]), array([-0.05      ,  0.04722222]), array([-0.0537037,  0.05     ]), array([-0.05925926,  0.05462963]), array([-0.06481481,  0.05833333]), array([-0.0712963 ,  0.06388889]), array([-0.07777778,  0.06944444]), array([-0.08240741,  0.075     ]), array([-0.08981481,  0.08055556]), array([-0.09259259,  0.08240741]), array([-0.0962963 ,  0.08611111]), array([-0.10185185,  0.09166667]), array([-0.10925926,  0.09722222]), array([-0.11574074,  0.10277778]), array([-0.12037037,  0.10555556]), array([-0.12592593,  0.11018519]), array([-0.13333333,  0.11666667]), array([-0.13888889,  0.1212963 ]), array([-0.14351852,  0.12407407]), array([-0.15     ,  0.1287037]), array([-0.15648148,  0.13425926]), array([-0.16203704,  0.13888889]), array([-0.16851852,  0.14444444]), array([-0.17407407,  0.14907407]), array([-0.1787037 ,  0.15277778]), array([-0.18425926,  0.15833333]), array([-0.18796296,  0.16203704]), array([-0.19351852,  0.16666667]), array([-0.19814815,  0.1712963 ]), array([-0.20185185,  0.175     ]), array([-0.20555556,  0.1787037 ]), array([-0.21018519,  0.18240741]), array([-0.21296296,  0.18518519]), array([-0.21666667,  0.18888889]), array([-0.22037037,  0.19259259]), array([-0.225    ,  0.1962963]), array([-0.22777778,  0.19907407]), array([-0.23240741,  0.2037037 ]), array([-0.23611111,  0.20648148]), array([-0.23981481,  0.20925926]), array([-0.24351852,  0.21296296]), array([-0.2462963 ,  0.21666667]), array([-0.25      ,  0.22037037]), array([-0.2537037 ,  0.22407407]), array([-0.25462963,  0.22592593]), array([-0.25555556,  0.22685185]), array([-0.25740741,  0.22777778]), array([-0.26018519,  0.23148148]), array([-0.26388889,  0.23518519]), array([-0.26574074,  0.23703704])]",645,,53.0,0.0,Gradual,Accuracy,0.0457927968402186,Baseline,0.04579279684021867
0.3,-0.3,"[array([0., 0.]), array([ 0.01296296, -0.00925926]), array([ 0.03055556, -0.02777778]), array([ 0.04814815, -0.0462963 ]), array([ 0.05277778, -0.05092593]), array([ 0.05925926, -0.05740741]), array([ 0.06388889, -0.06203704]), array([ 0.06666667, -0.06574074]), array([ 0.0712963 , -0.07037037]), array([ 0.07685185, -0.07685185]), array([ 0.08240741, -0.08333333]), array([ 0.08703704, -0.08796296]), array([ 0.09259259, -0.09444444]), array([ 0.09537037, -0.09722222]), array([ 0.10092593, -0.1037037 ]), array([ 0.10648148, -0.11018519]), array([ 0.11111111, -0.11481481]), array([ 0.11574074, -0.12037037]), array([ 0.12222222, -0.12592593]), array([ 0.12777778, -0.13240741]), array([ 0.13333333, -0.13796296]), array([ 0.14074074, -0.14444444]), array([ 0.14722222, -0.15092593]), array([ 0.15277778, -0.15555556]), array([ 0.16018519, -0.16203704]), array([ 0.16574074, -0.16666667]), array([ 0.17222222, -0.17222222]), array([ 0.17962963, -0.1787037 ]), array([ 0.18425926, -0.18425926]), array([ 0.19166667, -0.19074074]), array([ 0.19907407, -0.19722222]), array([ 0.20462963, -0.20185185]), array([ 0.21018519, -0.20648148]), array([ 0.21759259, -0.21296296]), array([ 0.225     , -0.21851852]), array([ 0.23055556, -0.22407407]), array([ 0.23796296, -0.22962963]), array([ 0.24537037, -0.23425926]), array([ 0.25092593, -0.23888889]), array([ 0.25648148, -0.24351852]), array([ 0.26203704, -0.24814815])]",645,,54.0,0.0,Gradual,Accuracy,0.00761120021021,Baseline,0.007611200210210052
-0.3,0.3,"[array([0., 0.]), array([-0.00555556,  0.01111111]), array([-0.01759259,  0.025     ]), array([-0.03240741,  0.03888889]), array([-0.03796296,  0.04351852]), array([-0.04166667,  0.04722222]), array([-0.04814815,  0.05277778]), array([-0.0537037 ,  0.05740741]), array([-0.05740741,  0.06203704]), array([-0.06203704,  0.06574074]), array([-0.06574074,  0.06944444]), array([-0.07222222,  0.075     ]), array([-0.07685185,  0.0787037 ]), array([-0.08148148,  0.08333333]), array([-0.08518519,  0.08703704]), array([-0.08796296,  0.08888889]), array([-0.09166667,  0.09259259]), array([-0.09444444,  0.09537037]), array([-0.1,  0.1]), array([-0.10648148,  0.10648148]), array([-0.10833333,  0.10833333]), array([-0.11481481,  0.11481481]), array([-0.11759259,  0.11666667]), array([-0.1212963 ,  0.12037037]), array([-0.12407407,  0.12314815]), array([-0.1287037 ,  0.12777778]), array([-0.13240741,  0.13240741]), array([-0.13518519,  0.13425926]), array([-0.13888889,  0.13796296]), array([-0.14444444,  0.14351852]), array([-0.14722222,  0.1462963 ]), array([-0.14907407,  0.14907407]), array([-0.15277778,  0.15277778]), array([-0.15925926,  0.15833333]), array([-0.16296296,  0.16388889]), array([-0.16759259,  0.16851852]), array([-0.17314815,  0.175     ]), array([-0.17685185,  0.17777778]), array([-0.18148148,  0.18240741]), array([-0.18703704,  0.18796296]), array([-0.19259259,  0.19166667]), array([-0.19814815,  0.1962963 ]), array([-0.2037037 ,  0.20092593]), array([-0.20833333,  0.20462963]), array([-0.21388889,  0.20925926]), array([-0.21851852,  0.21203704]), array([-0.22407407,  0.21666667]), array([-0.22777778,  0.21944444]), array([-0.23240741,  0.22407407]), array([-0.23703704,  0.22777778]), array([-0.23981481,  0.23055556]), array([-0.24351852,  0.23425926]), array([-0.24722222,  0.23796296]), array([-0.25      ,  0.24074074]), array([-0.25277778,  0.24351852]), array([-0.25462963,  0.2462963 ])]",645,,55.0,0.0,Gradual,Accuracy,0.1072941802262889,Baseline,0.10729418022628896
-0.3,-0.3,"[array([0., 0.]), array([-0.01203704, -0.01481481]), array([-0.03333333, -0.03611111]), array([-0.05462963, -0.05833333]), array([-0.05925926, -0.06481481]), array([-0.06388889, -0.0712963 ]), array([-0.06851852, -0.07685185]), array([-0.07314815, -0.08333333]), array([-0.07777778, -0.08888889]), array([-0.08148148, -0.09351852]), array([-0.08518519, -0.09814815]), array([-0.08981481, -0.1037037 ]), array([-0.09444444, -0.11018519]), array([-0.09814815, -0.11481481]), array([-0.10092593, -0.11759259]), array([-0.10648148, -0.12314815]), array([-0.11203704, -0.1287037 ]), array([-0.11851852, -0.13518519]), array([-0.12314815, -0.13981481]), array([-0.1287037, -0.1462963]), array([-0.13333333, -0.15185185]), array([-0.13888889, -0.15740741]), array([-0.14444444, -0.16296296]), array([-0.14722222, -0.16666667]), array([-0.1537037 , -0.17314815]), array([-0.15925926, -0.1787037 ]), array([-0.16203704, -0.18148148]), array([-0.16388889, -0.18425926]), array([-0.16759259, -0.18796296]), array([-0.17037037, -0.19074074]), array([-0.17685185, -0.19722222]), array([-0.18148148, -0.20277778]), array([-0.18796296, -0.20833333]), array([-0.19351852, -0.21481481]), array([-0.19907407, -0.22037037]), array([-0.20555556, -0.22685185]), array([-0.21018519, -0.23240741]), array([-0.21666667, -0.23796296]), array([-0.22222222, -0.24351852]), array([-0.22685185, -0.24814815]), array([-0.23240741, -0.25277778]), array([-0.23611111, -0.25648148]), array([-0.24074074, -0.26018519]), array([-0.24444444, -0.26296296])]",645,,56.0,0.0,Gradual,Accuracy,0.0034985590572874,Baseline,-0.0034985590572874556
-0.3,0.3,"[array([0., 0.]), array([-0.01944444,  0.01296296]), array([-0.04166667,  0.03148148]), array([-0.06111111,  0.05      ]), array([-0.06481481,  0.05462963]), array([-0.0712963 ,  0.06203704]), array([-0.07592593,  0.06851852]), array([-0.08240741,  0.07685185]), array([-0.08703704,  0.08333333]), array([-0.09351852,  0.09074074]), array([-0.1       ,  0.09907407]), array([-0.10462963,  0.10555556]), array([-0.11111111,  0.11388889]), array([-0.11666667,  0.1212963 ]), array([-0.11944444,  0.125     ]), array([-0.12407407,  0.13055556]), array([-0.12685185,  0.13333333]), array([-0.13333333,  0.13981481]), array([-0.13981481,  0.1462963 ]), array([-0.14444444,  0.15092593]), array([-0.15092593,  0.15648148]), array([-0.15555556,  0.16111111]), array([-0.16203704,  0.16574074]), array([-0.16759259,  0.17037037]), array([-0.17222222,  0.17407407]), array([-0.17685185,  0.1787037 ]), array([-0.18240741,  0.18240741]), array([-0.18611111,  0.18611111]), array([-0.18888889,  0.18888889]), array([-0.19259259,  0.19351852]), array([-0.1962963 ,  0.19814815]), array([-0.19907407,  0.20092593]), array([-0.20185185,  0.20462963]), array([-0.20462963,  0.20925926]), array([-0.20740741,  0.21203704]), array([-0.21018519,  0.21666667]), array([-0.21203704,  0.21944444]), array([-0.21481481,  0.22407407]), array([-0.21759259,  0.22777778]), array([-0.22037037,  0.23055556]), array([-0.22314815,  0.23518519]), array([-0.22685185,  0.23888889]), array([-0.22962963,  0.24166667]), array([-0.23333333,  0.24537037]), array([-0.23703704,  0.24907407]), array([-0.24166667,  0.2537037 ]), array([-0.24537037,  0.25648148])]",645,,57.0,0.0,Gradual,Accuracy,0.1604876339905624,Baseline,-0.1604876339905624
-0.3,-0.3,"[array([0., 0.]), array([-0.00648148, -0.01111111]), array([-0.02777778, -0.03055556]), array([-0.04722222, -0.0462963 ]), array([-0.05462963, -0.0537037 ]), array([-0.06203704, -0.06111111]), array([-0.06851852, -0.06666667]), array([-0.07222222, -0.07037037]), array([-0.075     , -0.07314815]), array([-0.08333333, -0.08148148]), array([-0.09166667, -0.08981481]), array([-0.09814815, -0.09722222]), array([-0.10648148, -0.10555556]), array([-0.11388889, -0.11388889]), array([-0.11944444, -0.11944444]), array([-0.12685185, -0.12685185]), array([-0.13148148, -0.13333333]), array([-0.13796296, -0.13981481]), array([-0.14351852, -0.14722222]), array([-0.14722222, -0.15185185]), array([-0.15277778, -0.15833333]), array([-0.15740741, -0.16296296]), array([-0.16203704, -0.16851852]), array([-0.16666667, -0.17314815]), array([-0.1712963, -0.1787037]), array([-0.17777778, -0.18425926]), array([-0.18148148, -0.18888889]), array([-0.18796296, -0.19537037]), array([-0.19259259, -0.2       ]), array([-0.19814815, -0.20648148]), array([-0.20462963, -0.21296296]), array([-0.20925926, -0.21759259]), array([-0.21203704, -0.22037037]), array([-0.21759259, -0.22777778]), array([-0.22314815, -0.23425926]), array([-0.22777778, -0.23981481]), array([-0.23240741, -0.2462963 ]), array([-0.23796296, -0.25277778]), array([-0.24166667, -0.25648148]), array([-0.24444444, -0.26018519])]",645,,58.0,0.0,Gradual,Accuracy,0.0410831711981258,Baseline,0.04108317119812581
-0.3,0.3,"[array([0., 0.]), array([-0.02592593,  0.01481481]), array([-0.05092593,  0.03055556]), array([-0.06574074,  0.04444444]), array([-0.0712963 ,  0.05092593]), array([-0.07685185,  0.05648148]), array([-0.08148148,  0.06111111]), array([-0.08796296,  0.06759259]), array([-0.09166667,  0.0712963 ]), array([-0.0962963 ,  0.07592593]), array([-0.10185185,  0.08148148]), array([-0.10925926,  0.08703704]), array([-0.11481481,  0.09259259]), array([-0.11944444,  0.09722222]), array([-0.125     ,  0.10277778]), array([-0.1287037 ,  0.10740741]), array([-0.13425926,  0.11296296]), array([-0.13981481,  0.11851852]), array([-0.14444444,  0.12314815]), array([-0.14907407,  0.1287037 ]), array([-0.1537037 ,  0.13333333]), array([-0.15740741,  0.13796296]), array([-0.16111111,  0.14074074]), array([-0.16388889,  0.14444444]), array([-0.16851852,  0.14907407]), array([-0.17222222,  0.15277778]), array([-0.17592593,  0.15648148]), array([-0.1787037 ,  0.15925926]), array([-0.18425926,  0.16388889]), array([-0.18888889,  0.16759259]), array([-0.19259259,  0.17037037]), array([-0.19722222,  0.17407407]), array([-0.20092593,  0.17685185]), array([-0.20462963,  0.17962963]), array([-0.20555556,  0.18148148]), array([-0.20833333,  0.18240741]), array([-0.21203704,  0.18611111]), array([-0.21666667,  0.19074074]), array([-0.22037037,  0.19444444]), array([-0.22222222,  0.1962963 ]), array([-0.22592593,  0.2       ]), array([-0.2287037,  0.2037037]), array([-0.23240741,  0.20740741]), array([-0.23425926,  0.20833333]), array([-0.23703704,  0.21203704]), array([-0.23981481,  0.21574074]), array([-0.24166667,  0.21851852]), array([-0.24444444,  0.2212963 ]), array([-0.2462963,  0.225    ]), array([-0.24907407,  0.2287037 ]), array([-0.25092593,  0.23240741]), array([-0.25277778,  0.23518519]), array([-0.25555556,  0.23796296]), array([-0.25740741,  0.24074074]), array([-0.25925926,  0.24351852])]",645,,59.0,0.0,Gradual,Accuracy,0.2136813080354543,Baseline,-0.21368130803545438
-0.3,-0.3,"[array([0., 0.]), array([-0.00925926, -0.0037037 ]), array([-0.02407407, -0.01296296]), array([-0.0462963 , -0.03148148]), array([-0.05648148, -0.03981481]), array([-0.06481481, -0.04722222]), array([-0.07222222, -0.05277778]), array([-0.08055556, -0.06018519]), array([-0.08981481, -0.06851852]), array([-0.09722222, -0.07407407]), array([-0.10462963, -0.08055556]), array([-0.11296296, -0.08796296]), array([-0.1212963 , -0.09537037]), array([-0.12777778, -0.10092593]), array([-0.13611111, -0.10833333]), array([-0.14351852, -0.11574074]), array([-0.15     , -0.1212963]), array([-0.15740741, -0.1287037 ]), array([-0.16296296, -0.13425926]), array([-0.17037037, -0.14166667]), array([-0.17685185, -0.14907407]), array([-0.18240741, -0.15462963]), array([-0.18796296, -0.16203704]), array([-0.19351852, -0.16944444]), array([-0.1962963 , -0.17222222]), array([-0.19907407, -0.175     ]), array([-0.20092593, -0.17777778]), array([-0.2037037 , -0.18148148]), array([-0.21018519, -0.18888889]), array([-0.21481481, -0.19351852]), array([-0.21944444, -0.2       ]), array([-0.22407407, -0.20648148]), array([-0.23055556, -0.21388889]), array([-0.23611111, -0.2212963 ]), array([-0.24166667, -0.22777778]), array([-0.2462963 , -0.23518519]), array([-0.25185185, -0.24166667]), array([-0.25555556, -0.24722222]), array([-0.25740741, -0.24907407])]",645,,60.0,0.0,Gradual,Accuracy,0.1717696535723614,Baseline,0.17176965357236146
-0.3,-0.3,[],645,,61.0,0.0,Gradual,Accuracy,0.1717696535723614,Baseline,
0.3,0.3,"[array([0., 0.]), array([0.00648148, 0.00555556]), array([0.01944444, 0.01851852]), array([0.02777778, 0.02777778]), array([0.03888889, 0.03888889]), array([0.04351852, 0.04444444]), array([0.04537037, 0.0462963 ]), array([0.04722222, 0.04907407]), array([0.05      , 0.05092593]), array([0.05462963, 0.05740741]), array([0.05833333, 0.06296296]), array([0.06203704, 0.06666667]), array([0.06574074, 0.07222222]), array([0.06944444, 0.07777778]), array([0.07314815, 0.08240741]), array([0.07685185, 0.08796296]), array([0.07962963, 0.09259259]), array([0.08425926, 0.09814815]), array([0.08888889, 0.1037037 ]), array([0.09166667, 0.10833333]), array([0.09722222, 0.11388889]), array([0.10277778, 0.12037037]), array([0.10462963, 0.12222222]), array([0.10925926, 0.12685185]), array([0.11203704, 0.12962963]), array([0.11574074, 0.13333333]), array([0.1212963 , 0.13796296]), array([0.125     , 0.14074074]), array([0.12777778, 0.14351852]), array([0.13055556, 0.14537037]), array([0.13703704, 0.15092593]), array([0.14166667, 0.15555556]), array([0.14907407, 0.16111111]), array([0.15648148, 0.16666667]), array([0.16296296, 0.1712963 ]), array([0.17037037, 0.17685185]), array([0.17777778, 0.18148148]), array([0.18240741, 0.18611111]), array([0.18796296, 0.19074074]), array([0.19351852, 0.19537037]), array([0.2       , 0.20092593]), array([0.20462963, 0.20555556]), array([0.21111111, 0.21018519]), array([0.21666667, 0.21574074]), array([0.2212963 , 0.21944444]), array([0.22592593, 0.22407407]), array([0.22777778, 0.225     ]), array([0.23240741, 0.22962963]), array([0.23611111, 0.23333333]), array([0.24074074, 0.23796296]), array([0.24444444, 0.24166667]), array([0.25     , 0.2462963]), array([0.25462963, 0.25      ])]",645,,62.0,0.0,Gradual,Accuracy,0.0091740552722563,Baseline,-0.009174055272256336
0.3,0.3,[],645,,63.0,0.0,Gradual,Accuracy,0.0091740552722563,Baseline,
0.3,-0.3,"[array([0., 0.]), array([ 0.00740741, -0.00185185]), array([ 0.02222222, -0.00925926]), array([ 0.03981481, -0.01759259]), array([ 0.05740741, -0.02592593]), array([ 0.06481481, -0.02962963]), array([ 0.06851852, -0.03148148]), array([ 0.075     , -0.03425926]), array([ 0.08055556, -0.03703704]), array([ 0.08703704, -0.03981481]), array([ 0.09166667, -0.04166667]), array([ 0.09814815, -0.04537037]), array([ 0.10462963, -0.04814815]), array([ 0.11203704, -0.05185185]), array([ 0.11851852, -0.05462963]), array([ 0.12314815, -0.05740741]), array([ 0.13055556, -0.06018519]), array([ 0.13796296, -0.06388889]), array([ 0.14537037, -0.06759259]), array([ 0.15      , -0.06944444]), array([ 0.15740741, -0.07222222]), array([ 0.16388889, -0.07592593]), array([ 0.1712963, -0.0787037]), array([ 0.17592593, -0.08148148]), array([ 0.18240741, -0.08518519]), array([ 0.18796296, -0.08888889]), array([ 0.19351852, -0.09351852]), array([ 0.19722222, -0.0962963 ]), array([ 0.20185185, -0.10092593]), array([ 0.20648148, -0.10555556]), array([ 0.21018519, -0.11018519]), array([ 0.21203704, -0.11388889]), array([ 0.21388889, -0.11944444]), array([ 0.21666667, -0.12592593]), array([ 0.21759259, -0.13148148]), array([ 0.21851852, -0.13611111]), array([ 0.21944444, -0.14259259]), array([ 0.22037037, -0.15      ]), array([ 0.2212963 , -0.15648148]), array([ 0.22222222, -0.16111111]), array([ 0.22407407, -0.16759259]), array([ 0.22592593, -0.17407407]), array([ 0.22777778, -0.18055556]), array([ 0.22962963, -0.18518519]), array([ 0.23333333, -0.19074074]), array([ 0.23611111, -0.1962963 ]), array([ 0.23981481, -0.20185185]), array([ 0.24166667, -0.20555556]), array([ 0.24537037, -0.21018519]), array([ 0.24907407, -0.21481481]), array([ 0.25277778, -0.21851852]), array([ 0.25648148, -0.22314815]), array([ 0.25833333, -0.22592593]), array([ 0.26203704, -0.2287037 ]), array([ 0.26574074, -0.23240741]), array([ 0.26851852, -0.23518519]), array([ 0.2712963 , -0.23703704])]",646,,0.0,0.0,Sudden,Speed,0.3020401647367365,Baseline,-0.3020401647367365
0.3,-0.3,[],646,,1.0,0.0,Sudden,Speed,0.3020401647367365,Baseline,
